0,1,"@sa_vadorr 100% right, I covered not knowing it was my choice. I don’t practice anymore, but I still totally believe hijab is a personal choice and shouldn’t be forced on anyone."
1,-1,"@sa_vadorr كمية طاقه سلبيه في ويهج وكلامج..مسكينه انتي وايد والي صج مسكينه امج الله يكون بعونها .. في يوم من الايام وفي المستقبل راح تدركين شنو خسرتي.. الله لايبلاني في اهلي وذريتي واحبتي🌸 الحمدلله الذي عافانا مما ابتلا به كثيرا من خلقه وفضلنا عليهم تفضيلا.
بلوك ماتحمل الكأبه الي تنقلينها"
3,-1,@sa_vadorr كذب من قال إن التعري يزيد المرأة جمالا https://t.co/2njdtL1FOO
4,-1,@sa_vadorr الله لا يبلانا بس ويسترنا فالدنيا والاخرة
5,-1,@sa_vadorr (يَا أَيُّهَا النَّبِيُّ قُل لِّأَزْوَاجِكَ وَبَنَاتِكَ وَنِسَاءِ الْمُؤْمِنِينَ يُدْنِينَ عَلَيْهِنَّ مِن جَلَابِيبِهِنَّ ۚ ذَٰلِكَ أَدْنَىٰ أَن يُعْرَفْنَ فَلَا يُؤْذَيْنَ ۗ وَكَانَ اللَّهُ غَفُورًا رَّحِيمًا)
6,-1,@sa_vadorr ذهب الإمام الشافعيّ في الصّحيح عنده والإمام أحمد وأصحابه أنّ تغطية وجه المرأة وكفّيها واجبٌ شرعاً؛ على إطلاق ذلك الوجوب لكل النساء دون تحديد، ودليل أصحاب هذا الرأي ما جاء في قول الله تعالى من سورة الأحزاب حيث خاطب الله النبي -صلى الله عليه وسلم- آمراً نساء المؤمنين قائلاً:
7,-1,@sa_vadorr هل يعجبج هذا المنظر ضحكو عليكم وقالو الحرية تعيش المرأة في شارع هل الحرية بنطلون وقص الشعر صج التخلف بعينة وين دين الله  وين الحشمة والخوف من الله خسرتي أسرتك ودينك وولدتك لأن الابو مات من سنين الله حابة من هروب بنتة المدلالة
8,1,@sa_vadorr أشهد انك صادقة
9,-1,@sa_vadorr @de_gfr انا سعودي وأكره حكومه قطر لكن أسألك ،هل اللي تسوينه هل هو يوافق القران والسنه؟
10,-1,@sa_vadorr هههههه ضحكتني قحطانية قطرية طيب قولي احمل الجنسية القطرية وماني ببعيد من هند القحطاني الله يخسكم وياخذكم ويفكنا من هذي العينات الممسوخة المنحلة
